image,k,kernel_size,total_time
image1.jpg,3,(3, 3),0.48389649391174316
image10.jpg,3,(3, 3),0.19593358039855957
image11.jpg,3,(3, 3),0.27882933616638184
image2.jpg,3,(3, 3),0.40166139602661133
image3.jpg,3,(3, 3),0.5237295627593994
image4.jpg,3,(3, 3),0.2817821502685547
image5.jpg,3,(3, 3),0.11774659156799316
image6.jpg,3,(3, 3),0.4796459674835205
image7.jpg,3,(3, 3),0.45929956436157227
image8.jpg,3,(3, 3),0.3348228931427002
image9.jpg,3,(3, 3),0.21251583099365234
image1.jpg,3,(5, 5),0.35555243492126465
image10.jpg,3,(5, 5),0.2063300609588623
image11.jpg,3,(5, 5),0.21671819686889648
image2.jpg,3,(5, 5),0.37082338333129883
image3.jpg,3,(5, 5),0.5210492610931396
image4.jpg,3,(5, 5),0.285656213760376
image5.jpg,3,(5, 5),0.11561250686645508
image6.jpg,3,(5, 5),0.4746062755584717
image7.jpg,3,(5, 5),0.45523953437805176
image8.jpg,3,(5, 5),0.3363354206085205
image9.jpg,3,(5, 5),0.21664786338806152
image1.jpg,3,(7, 7),0.3256368637084961
image10.jpg,3,(7, 7),0.1735069751739502
image11.jpg,3,(7, 7),0.22359251976013184
image2.jpg,3,(7, 7),0.3326880931854248
image3.jpg,3,(7, 7),0.5206489562988281
image4.jpg,3,(7, 7),0.28185319900512695
image5.jpg,3,(7, 7),0.12101888656616211
image6.jpg,3,(7, 7),0.47979259490966797
image7.jpg,3,(7, 7),0.46534132957458496
image8.jpg,3,(7, 7),0.3309168815612793
image9.jpg,3,(7, 7),0.22318720817565918
image1.jpg,5,(3, 3),0.3324320316314697
image10.jpg,5,(3, 3),0.17832231521606445
image11.jpg,5,(3, 3),0.2236003875732422
image2.jpg,5,(3, 3),0.3406026363372803
image3.jpg,5,(3, 3),0.5142779350280762
image4.jpg,5,(3, 3),0.28611326217651367
image5.jpg,5,(3, 3),0.12535929679870605
image6.jpg,5,(3, 3),0.47769641876220703
image7.jpg,5,(3, 3),0.45709705352783203
image8.jpg,5,(3, 3),0.33164548873901367
image9.jpg,5,(3, 3),0.22138285636901855
image1.jpg,5,(5, 5),0.3296325206756592
image10.jpg,5,(5, 5),0.17679381370544434
image11.jpg,5,(5, 5),0.225006103515625
image2.jpg,5,(5, 5),0.3390963077545166
image3.jpg,5,(5, 5),0.5305061340332031
image4.jpg,5,(5, 5),0.30197811126708984
image5.jpg,5,(5, 5),0.1174464225769043
image6.jpg,5,(5, 5),0.4784426689147949
image7.jpg,5,(5, 5),0.4618110656738281
image8.jpg,5,(5, 5),0.34244656562805176
image9.jpg,5,(5, 5),0.2197096347808838
image1.jpg,5,(7, 7),0.3341517448425293
image10.jpg,5,(7, 7),0.18565678596496582
image11.jpg,5,(7, 7),0.21557116508483887
image2.jpg,5,(7, 7),0.367173433303833
image3.jpg,5,(7, 7),0.5517549514770508
image4.jpg,5,(7, 7),0.2919497489929199
image5.jpg,5,(7, 7),0.12454056739807129
image6.jpg,5,(7, 7),0.5036702156066895
image7.jpg,5,(7, 7),0.6538829803466797
image8.jpg,5,(7, 7),0.5182685852050781
image9.jpg,5,(7, 7),0.326967716217041
image1.jpg,7,(3, 3),0.42092323303222656
image10.jpg,7,(3, 3),0.23064112663269043
image11.jpg,7,(3, 3),0.25795817375183105
image2.jpg,7,(3, 3),0.4239933490753174
image3.jpg,7,(3, 3),0.5950186252593994
image4.jpg,7,(3, 3),0.3333759307861328
image5.jpg,7,(3, 3),0.1629652976989746
image6.jpg,7,(3, 3),0.5859348773956299
image7.jpg,7,(3, 3),0.5415270328521729
image8.jpg,7,(3, 3),0.3542795181274414
image9.jpg,7,(3, 3),0.23729515075683594
image1.jpg,7,(5, 5),0.3448653221130371
image10.jpg,7,(5, 5),0.17859721183776855
image11.jpg,7,(5, 5),0.24041485786437988
image2.jpg,7,(5, 5),0.36809372901916504
image3.jpg,7,(5, 5),0.5370082855224609
image4.jpg,7,(5, 5),0.29767560958862305
image5.jpg,7,(5, 5),0.1311628818511963
image6.jpg,7,(5, 5),0.5747566223144531
image7.jpg,7,(5, 5),0.6198136806488037
image8.jpg,7,(5, 5),0.4316434860229492
image9.jpg,7,(5, 5),0.28202223777770996
image1.jpg,7,(7, 7),0.3531944751739502
image10.jpg,7,(7, 7),0.21416044235229492
image11.jpg,7,(7, 7),0.2643437385559082
image2.jpg,7,(7, 7),0.3770773410797119
image3.jpg,7,(7, 7),0.643216609954834
image4.jpg,7,(7, 7),0.2989943027496338
image5.jpg,7,(7, 7),0.12466573715209961
image6.jpg,7,(7, 7),0.5481138229370117
image7.jpg,7,(7, 7),0.5078985691070557
image8.jpg,7,(7, 7),0.38585829734802246
image9.jpg,7,(7, 7),0.24221038818359375
